City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Rajshahi;1;200101001;;Kashiyadanga;Kashiya Danga, Rahman Oil pump Ar Pashe;30;132;70;3;2;4;1;1;1;4;4;4;4;3;4;2;4;4;4;49
Rajshahi;1;200102001;;Aduburi;Adu Buri, Dabir Uddain Cilin Ar Pashe;50;215;65;2;1;4;2;4;1;4;4;4;3;1;4;2;4;4;4;48
Rajshahi;1;200102002;;Aduburi;Kashiya Danga, Mor Sat Tolar Pichone;15;58;120;2;1;4;1;4;4;1;4;4;4;3;4;2;4;4;4;50
Rajshahi;1;200102003;;Aduburi;Adu Buri, Hafija Begum Ar Bari;22;85;24;3;1;4;2;1;1;4;4;4;4;1;1;1;1;2;1;35
Rajshahi;1;200102004;;Aduburi;Adu Buri, Bagan Bostee;7;32;65;1;1;4;1;1;1;1;4;4;3;1;4;3;4;4;4;41
Rajshahi;1;200103001;;New Harupur;New Harupur Panir Pump Bostee;40;155;35;1;1;4;1;1;1;1;4;4;3;1;1;1;1;3;1;29
Rajshahi;1;200103002;;New Harupur;Oli Mistry Ar Bari;36;143;95;4;3;4;2;4;2;4;4;4;4;2;4;3;4;4;4;56
Rajshahi;1;200103003;;New Harupur;Kathal Baria Emaj Mondol Ar Bari;32;122;103;3;3;4;2;3;2;4;4;4;4;1;4;1;4;4;4;51
Rajshahi;1;200103004;;New Harupur;Kathal Baria Hatu Vanga Mor Ar Bosotee;18;75;90;2;1;4;1;4;4;2;4;4;4;2;4;1;4;4;4;49
Rajshahi;1;200104001;;Kathal Bariya- Shahajipara;Kathal Bariya Mor Ar Pichone;320;1320;60;2;1;3;4;3;3;3;3;3;1;2;2;2;3;3;2;40
Rajshahi;1;200104002;;Kathal Bariya- Shahajipara;Shahajipara Pukurer Shamne;500;2172;60;2;1;4;4;3;3;4;3;3;1;2;2;2;3;3;2;42
Rajshahi;1;200105001;;Shairgacha;Darogar Bagan;70;350;40;2;1;4;4;4;4;3;4;2;1;2;2;2;3;3;2;43
Rajshahi;1;200105002;;Shairgacha;Gorosthaner Pashe;30;123;30;1;1;4;4;3;3;3;4;3;1;2;4;4;3;3;4;47
Rajshahi;1;200106001;;Raipara;Raypara Rail Crossing Ar Pashe;40;152;55;1;1;4;1;1;1;1;4;4;1;1;1;1;1;2;1;26
Rajshahi;1;200106002;;Raipara;Raypara Jora Bot Tola Bostee;95;305;42;1;1;4;1;1;2;1;4;4;4;2;1;1;1;2;1;31
Rajshahi;1;200106003;;Raipara;Raypara Mor Bostee;8;42;45;1;1;4;1;1;3;1;4;3;3;2;1;1;1;3;1;31
Rajshahi;1;200106004;;Raipara;Chalna Saka Bostee;35;145;60;1;1;4;1;1;1;1;4;4;4;1;2;2;2;3;1;33
Rajshahi;1;200106005;;Raipara;Purbo Raipara School Er Pichone;30;118;55;2;4;4;4;4;3;4;4;4;4;4;1;1;1;2;1;47
Rajshahi;1;200107001;;Golzarbug Guripara;Markuta Mor Ar Pichone;30;125;45;1;1;4;1;1;2;1;4;3;1;1;1;1;1;2;1;26
Rajshahi;1;200107002;;Golzarbug Guripara;Baitul Mamur Masjeer Ar Pashe;5;22;49;2;1;4;4;4;2;4;4;3;1;1;2;2;4;4;4;46
Rajshahi;1;200107003;;Golzarbug Guripara;Sofiqul Ar Bashar Pashe;9;43;41;2;4;4;4;4;4;1;4;3;1;2;2;2;4;4;4;49
Rajshahi;1;200107004;;Golzarbug Guripara;Rajob Alir Bostee;5;23;60;2;4;4;4;4;3;4;3;3;1;3;2;2;2;1;2;44
Rajshahi;1;200107005;;Golzarbug Guripara;Chirar Pukur Ar Pashe;21;95;56;2;3;4;4;4;4;4;4;3;1;3;2;4;2;1;2;47
Rajshahi;1;200107006;;Golzarbug Guripara;Golger Bag Masjeed Ae Purbo Pashe;8;31;61;2;4;4;4;4;4;1;4;3;1;2;2;1;1;1;2;40
Rajshahi;1;200107007;;Golzarbug Guripara;Masjeed Ar Purbo Pashe;21;95;52;4;4;4;4;4;4;4;4;3;1;4;1;1;1;2;1;46
Rajshahi;1;200108001;;Mursipar-Horogram;Pir Saheb Para Rail Line Ar Pashe;19;65;44;1;2;4;4;1;2;1;4;3;1;1;1;1;1;2;1;30
Rajshahi;2;200201001;;Horogram Notunpara;Biddir Patal;15;62;86;2;1;4;3;3;3;4;4;3;3;3;4;2;4;4;4;51
Rajshahi;2;200201002;;Horogram Notunpara;Bidir Patol;6;26;50;3;2;4;4;4;3;4;4;3;3;3;4;2;4;4;4;55
Rajshahi;2;200201003;;Horogram Notunpara;Char Khuta, Railway Line;23;89;60;4;4;4;4;1;2;4;3;3;1;2;1;1;1;2;1;38
Rajshahi;2;200202001;;Horogram Purbopara;Court College Talipara-2;58;279;37;4;1;4;4;1;3;4;4;3;1;1;1;1;1;2;1;36
Rajshahi;2;200202002;;Horogram Purbopara;Baganpara Rob Member Ar Bari;10;35;40;4;1;4;2;4;1;4;4;3;1;1;4;1;4;4;4;46
Rajshahi;2;200202003;;Horogram Purbopara;Horo Gram Purbo Bagan Para;110;640;55;1;1;4;4;1;2;4;4;3;1;1;1;1;1;2;1;32
Rajshahi;2;200202004;;Horogram Purbopara;By Pass Girija Dabtola Bostee;25;100;70;2;1;4;2;1;2;4;4;3;1;1;4;1;4;4;4;42
Rajshahi;2;200202005;;Horogram Purbopara;By Pass Urban Clinic Bostee;24;82;35;4;3;4;4;4;2;4;4;3;2;1;1;1;3;3;2;45
Rajshahi;2;200202006;;Horogram Purbopara;Tultuly Para Railway;100;343;28;1;1;3;2;1;1;4;4;1;1;1;1;1;1;2;1;26
Rajshahi;2;200203001;;Mollapara;Molla Para, Sawtal Para;16;61;72;3;1;4;1;1;2;3;4;4;1;1;1;1;1;1;1;30
Rajshahi;2;200203002;;Mollapara;Molla Para, Math Para;11;47;40;2;1;4;3;4;3;4;4;3;3;2;4;2;4;4;4;51
Rajshahi;2;200204001;;Nagarpara;Horo Gram Shak Para Jame Masjeed Ar Pashe;10;42;49;3;1;4;3;2;2;4;3;3;1;3;4;2;4;4;4;47
Rajshahi;2;200204002;;Nagarpara;Horo Gram Shekh Para Masjeed Ar Piche;12;51;73;2;1;4;1;1;1;1;3;3;1;3;4;2;4;4;4;39
Rajshahi;2;200204003;;Nagarpara;Shekh Para Masjeed Ar Shamne;11;49;70;3;1;4;1;1;2;3;4;3;1;3;4;2;4;4;4;44
Rajshahi;2;200204004;;Nagarpara;Nagar Para;21;88;48;3;2;4;4;3;4;4;4;3;3;3;4;2;4;4;4;55
Rajshahi;2;200204005;;Nagarpara;Nagar Para r Ses Matha;9;37;67;3;1;4;4;3;3;4;4;3;2;3;4;1;4;4;4;51
Rajshahi;2;200204006;;Nagarpara;Nagar Primary School Ar Pashe;47;209;130;3;1;4;4;4;3;4;4;3;3;3;4;2;4;4;4;54
Rajshahi;2;200204007;;Nagarpara;Holder Para Jame Masjeed Ar Pashe;21;89;95;3;2;4;4;4;3;4;4;3;3;3;4;1;4;4;4;54
Rajshahi;2;200204008;;Nagarpara;Nagar Para Notun Masjeed Ar Pashe;9;38;30;2;1;4;3;1;2;1;4;3;3;3;4;2;4;4;4;45
Rajshahi;2;200205001;;Collony Asroyon;Asroyon Thosa Para;25;120;30;2;1;4;2;4;3;4;4;3;1;2;4;2;4;4;4;48
Rajshahi;2;200205002;;Collony Asroyon;Molla Para Rap-05, Asroyon;500;2500;21;2;1;4;4;1;1;4;4;3;1;1;1;1;1;2;3;34
Rajshahi;2;200205003;;Collony Asroyon;Lily Holer More;400;1600;50;4;4;4;4;2;2;4;4;3;2;2;4;2;4;4;4;53
Rajshahi;2;200205004;;Collony Asroyon;B.M Collag ar pashe;350;1420;65;1;1;4;2;4;1;4;4;3;1;1;2;4;1;1;1;35
Rajshahi;2;200206001;;Sheikhpara;Bash Bolod, Shekh Para;21;87;47;3;1;3;1;1;4;1;4;4;1;3;4;1;4;4;4;43
Rajshahi;2;200206002;;Sheikhpara;Shekh Para Masjeed Ar Pashe;11;46;50;3;1;4;4;2;2;4;4;3;3;3;4;2;4;4;4;51
Rajshahi;3;200301001;;Dingadoba Ghoshmohal;Panapukur Poschim Pash;100;400;25;4;1;3;1;3;1;2;4;2;2;2;4;3;4;4;4;44
Rajshahi;3;200301002;;Dingadoba Ghoshmohal;Panapukur Purbo Pash;500;2000;30;3;3;3;1;3;1;3;4;1;1;2;4;3;4;4;4;44
Rajshahi;3;200302001;;Dingadoba;Nimtola;60;258;30;2;1;4;3;3;3;2;2;2;1;2;4;1;4;4;4;42
Rajshahi;3;200302002;;Dingadoba;Purbo Para;150;500;30;2;1;3;3;3;2;2;2;2;1;3;4;3;4;4;4;43
Rajshahi;3;200303001;;Dashpukur (South);Rutiyala Para;350;1250;25;2;3;4;2;4;2;3;3;3;2;1;4;3;4;4;4;48
Rajshahi;3;200304001;;Dashpukur (North);Dashpukur Ses Matha;100;400;19;1;1;3;1;2;2;1;3;1;1;2;3;3;3;3;3;33
Rajshahi;3;200305001;;Dhorompur (West);Kamar Para;88;308;55;3;4;4;2;4;3;4;3;3;4;3;4;3;4;4;4;56
Rajshahi;3;200305002;;Dhorompur (West);BohoromSes Matha- Akramer Mor;400;1540;30;4;4;4;4;4;4;4;4;4;2;4;4;3;4;4;4;61
Rajshahi;3;200305003;;Dhorompur (West);Hobir Goli;70;400;40;3;3;4;4;4;4;4;4;4;2;4;4;3;4;4;4;59
Rajshahi;3;200306001;;Dohormpur (East);Kali Pukur;12;48;25;3;3;4;3;4;4;4;4;4;2;4;4;4;4;4;4;59
Rajshahi;3;200307001;;Bilshimla (Bondho Gate);Khichri Para;70;370;55;4;4;4;4;4;4;1;4;4;1;3;4;3;4;4;4;56
Rajshahi;3;200307002;;Bilshimla (Bondho Gate);Bombo Gate;120;480;35;4;4;4;4;4;4;4;4;4;2;4;4;3;4;4;4;61
Rajshahi;3;200308001;;Bilshimla;Railer Bostee;5;28;3;1;1;1;1;1;1;1;3;4;1;1;1;1;1;2;1;22
Rajshahi;3;200308002;;Bilshimla;Golaper Bostee;70;245;3;1;1;1;1;1;1;1;3;4;1;1;1;1;1;2;1;22
Rajshahi;4;200401001;;Keshabpur;MotinDoctor Ar Goli;157;630;45;3;4;4;4;4;1;4;4;3;4;1;4;1;4;4;4;53
Rajshahi;4;200401002;;Keshabpur;Bader Dhar;315;1275;40;3;4;4;4;4;1;4;1;4;4;1;1;1;1;1;1;39
Rajshahi;4;200401003;;Keshabpur;Keshobpur Masjeed Ar Pashe;250;840;75;3;3;4;4;1;1;4;1;3;4;1;1;1;1;1;1;34
Rajshahi;4;200402001;;Nowabganj Ghoshpara;Goshara;923;3010;65;2;4;3;4;4;1;4;4;3;3;1;1;1;1;1;1;38
Rajshahi;4;200402002;;Nowabganj Ghoshpara;Keshobpur Dokkhin Para;683;2420;60;2;4;3;4;4;1;4;4;3;3;1;1;1;1;1;1;38
Rajshahi;4;200403001;;Goalpara;Nobi Nagar;30;125;70;3;4;4;4;4;1;4;4;3;4;1;4;1;4;4;4;53
Rajshahi;4;200403002;;Goalpara;Purbo Nobi Nagar;18;65;45;2;4;4;4;4;1;4;4;3;4;1;1;1;4;4;4;49
Rajshahi;4;200403003;;Goalpara;Choto Masjeed;38;162;75;4;4;4;4;4;3;3;4;3;4;2;1;2;4;4;4;54
Rajshahi;4;200404001;;Gulonpur;Piyon Para;70;305;40;2;4;4;4;4;1;4;4;3;4;1;1;1;2;2;3;44
