City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Saidpur;1;10105001;13200105001;Poschimpara;Kora Poschimpara;132;587;212;2;1;4;1;1;1;1;4;3;2;3;4;1;4;4;4;40
Saidpur;1;10106001;13200106001;Erbatullah Sarkar Para Botolgari & Dangapara;Fokirpara;87;393;200;2;2;4;1;1;1;1;4;3;2;3;4;2;4;4;4;42
Saidpur;1;10106002;13200106002;Erbatullah Sarkar Para Botolgari & Dangapara;Dangapara;123;556;200;2;1;4;1;1;1;1;4;3;3;3;4;1;4;4;4;41
Saidpur;1;10106003;13200106003;Erbatullah Sarkar Para Botolgari & Dangapara;Vullipara;35;155;200;2;1;4;1;1;1;1;4;3;3;3;4;2;4;4;4;42
Saidpur;1;10107001;13200107001;Dangapara Bazar Mahalla;Sig Para;33;147;200;2;1;4;1;1;1;1;4;2;2;3;4;2;4;4;4;40
Saidpur;1;10108001;13200108001;Shingpara;Bosniya Para;52;228;200;2;1;4;1;1;1;3;4;3;2;3;4;1;4;4;4;42
Saidpur;1;10108002;13200108002;Shingpara;Dangapara;40;177;200;3;2;4;1;1;1;2;4;3;3;3;4;1;4;4;4;44
Saidpur;1;10108003;13200108003;Shingpara;Ghonpara;88;399;200;2;1;4;1;1;1;1;4;3;2;3;4;1;4;4;4;40
Saidpur;1;10108004;13200108004;Shingpara;Shingpara;44;197;200;2;1;4;1;1;1;1;4;3;3;3;4;1;4;1;4;38
Saidpur;2;10201001;13200201001;Chini Mosque Islamabag;Emam Ali Lane-1;50;250;60;2;2;4;3;1;1;4;4;3;1;4;1;1;1;2;1;35
Saidpur;2;10201002;13200201002;Chini Mosque Islamabag;Emam Ali Lane-2;150;1000;60;4;4;4;2;1;1;4;4;3;1;4;1;1;1;2;1;38
Saidpur;2;10201003;13200201003;Chini Mosque Islamabag;Shri Bangla Road;125;600;80;3;1;4;1;1;3;4;4;3;1;3;1;1;1;2;1;34
Saidpur;2;10204001;13200204001;Golahat Panir Tank;Shri Bangla Road;103;608;62;2;1;4;4;1;3;4;4;2;1;4;4;4;4;4;4;50
Saidpur;2;10205001;13200205001;Jame Mosque Rail Colony;Shri Bangla Road-1;150;750;80;2;1;4;3;1;2;1;4;3;1;4;1;1;1;2;1;32
Saidpur;2;10206001;13200206001;Golahat Camp-1;Camp-1, Batgass;350;1975;48;3;1;4;4;1;2;3;3;3;1;4;2;2;4;2;1;40
