City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Barisal;18;61801002;10401801002;Mollik Road;Sohed Sentu Sarak (2);60;300;40;2;1;4;1;4;4;1;4;4;4;2;3;3;4;4;4;49
Barisal;18;61801003;10401801003;Mollik Road;Usuf Vela;13;65;65;2;3;4;2;4;2;3;3;3;4;3;4;2;4;4;4;51
Barisal;18;61801001;10401801001;Mollik Road;Sohed Sentu Sarak (1);7;35;50;2;1;4;1;3;4;1;3;4;4;3;4;2;4;4;4;48
Barisal;18;61801005;10401801005;Mollik Road;Khan Manjel;15;75;70;4;1;3;3;3;3;4;4;3;3;3;3;3;3;4;4;51
Barisal;18;61801004;10401801004;Mollik Road;Hamid Monjel;100;500;36;2;1;4;1;4;4;4;4;4;4;2;3;3;4;4;4;52
Barisal;18;61802001;10401802001;Shrinath Chaterji Len;Serajul Sir Ar Bari;9;45;50;2;1;4;2;1;3;2;4;3;4;2;4;2;4;4;4;46
Barisal;18;61802002;10401802002;Shrinath Chaterji Len;Doito Bari;10;50;40;1;1;4;2;1;3;1;3;3;3;3;4;2;4;4;4;43
Barisal;18;61802004;10401802004;Shrinath Chaterji Len;Khan Manjel Sarak;13;65;30;2;1;4;2;1;2;1;3;3;4;3;4;2;4;4;4;44
Barisal;18;61802005;10401802005;Shrinath Chaterji Len;Puran Bari;10;50;30;2;1;4;2;3;4;2;3;3;3;3;4;2;4;4;4;48
Barisal;18;61802003;10401802003;Shrinath Chaterji Len;Sufeya Lain;12;60;40;2;1;4;2;3;2;1;3;3;4;2;4;1;4;4;4;44
Barisal;18;61803001;10401803001;BM School Road oh Len Uttor;Sahera Manson;15;75;40;2;1;4;2;1;3;2;3;4;4;4;4;1;4;4;4;47
Barisal;18;61803002;10401803002;BM School Road oh Len Uttor;Soref Monjel;8;40;10;4;3;3;2;3;4;4;3;4;4;4;4;3;4;4;4;57
Barisal;18;61803003;10401803003;BM School Road oh Len Uttor;Khokon Miyar Bari;15;75;20;2;1;4;1;3;4;1;3;3;4;2;4;1;4;4;4;45
Barisal;18;61804001;10401804001;BM School Road oh Len Dokkhin;Aftab Manjel;6;30;10;2;1;4;1;4;2;1;4;3;4;2;4;1;4;4;4;45
Barisal;18;61804002;10401804002;BM School Road oh Len Dokkhin;Rob Miyar Goli;5;25;15;2;1;4;1;4;3;1;3;3;4;2;4;4;4;4;4;48
Barisal;18;61806001;10401806001;Alekanda Uttor;Quarter;18;90;20;2;1;4;2;4;3;1;3;3;4;2;3;2;3;2;3;42
Barisal;18;61807001;10401807001;Adom Ali Hazi Goli;Halem Miyar Bari;16;80;35;2;1;4;1;3;4;2;3;4;4;3;4;3;4;4;4;50
Barisal;18;61807002;10401807002;Adom Ali Hazi Goli;Mission;8;40;30;2;1;4;2;4;4;3;4;4;4;3;4;4;4;4;4;55
Barisal;18;61807003;10401807003;Adom Ali Hazi Goli;Khola Bari;15;75;47;1;1;3;1;2;2;1;3;3;4;2;3;1;2;3;2;34
Barisal;18;61807004;10401807004;Adom Ali Hazi Goli;Nannu Miyar Bari;9;45;47;2;1;4;1;3;4;2;4;4;4;3;4;3;4;4;4;51
Barisal;18;61807005;10401807005;Adom Ali Hazi Goli;Sobhan Miyar Bari;12;60;47;1;1;4;1;3;4;1;4;3;4;2;4;4;4;4;4;48
Barisal;18;61808006;10401808006;Nobogram Road Bottola - Passport Office;Adom Ani Golli;9;45;70;4;1;4;3;3;4;1;3;3;3;3;2;3;3;4;4;48
Barisal;18;61808005;10401808005;Nobogram Road Bottola - Passport Office;Mi Muktejodda Moheuddain Ahmed Sarak;10;50;25;1;2;4;1;3;3;3;4;4;1;2;2;1;3;3;3;40
Barisal;18;61808004;10401808004;Nobogram Road Bottola - Passport Office;Notun Mejor M.A Jolil Sarak;9;45;10;1;2;4;1;3;3;3;4;4;4;2;2;1;3;3;3;43
Barisal;18;61808003;10401808003;Nobogram Road Bottola - Passport Office;Notun Major M.A Jolil Sarak;8;40;10;2;1;2;1;3;3;1;2;3;3;2;2;1;2;3;3;34
Barisal;18;61808002;10401808002;Nobogram Road Bottola - Passport Office;Puraton Major M.A Jolil Sarak;6;30;47;1;1;2;1;1;3;1;2;3;4;2;4;4;4;4;4;41
Barisal;18;61808008;10401808008;Nobogram Road Bottola - Passport Office;Litu Miyar Bari;10;50;30;2;1;4;1;3;3;1;3;4;4;3;4;2;4;4;4;47
Barisal;18;61808007;10401808007;Nobogram Road Bottola - Passport Office;Safeya Kotay;9;45;30;2;1;4;2;2;4;4;3;3;4;3;4;2;4;4;4;50
Barisal;18;61808001;10401808001;Nobogram Road Bottola - Passport Office;Puraton Major M.A Jolil Sarak;8;40;15;1;1;2;1;1;4;1;2;3;3;2;4;4;4;4;4;41
Barisal;18;61809001;10401809001;Shrinath Dokkhin;Karuna Bate Sir Ar Bari;12;60;55;2;1;4;1;1;2;1;3;3;4;2;3;1;3;1;1;33
Barisal;18;61809003;10401809003;Shrinath Dokkhin;Molla Bari;7;35;30;2;1;4;2;4;3;1;3;3;4;2;4;4;4;4;4;49
Barisal;18;61809002;10401809002;Shrinath Dokkhin;Faruk Sarak Ar Pashe;14;70;50;1;1;4;2;3;3;1;3;3;4;2;4;2;4;4;4;45
Barisal;15;61501008;10401501008;Nobogram Dokshin;New Estor kular Road;80;400;110;2;1;4;2;3;2;1;3;3;3;2;4;1;4;1;3;39
Barisal;15;61501007;10401501007;Nobogram Dokshin;Amer Ali Khar Bari;50;250;90;1;1;4;3;3;3;1;3;3;4;2;4;2;4;4;4;46
Barisal;15;61501006;10401501006;Nobogram Dokshin;Asraf Sarak Ar Kache;95;475;60;1;1;4;2;4;3;2;3;4;4;2;4;2;4;4;4;48
Barisal;15;61501005;10401501005;Nobogram Dokshin;Raju Miyar Pul Rosheder Bari;115;575;100;2;1;4;3;3;2;2;3;3;3;2;4;2;4;4;4;46
Barisal;15;61501003;10401501003;Nobogram Dokshin;Anayara Vela;75;375;60;1;1;4;1;4;3;1;2;3;4;2;3;2;3;1;3;38
Barisal;15;61501002;10401501002;Nobogram Dokshin;Soref Ar Bari;45;125;70;1;1;4;1;3;3;1;3;3;4;2;4;1;4;4;4;43
Barisal;15;61501004;10401501004;Nobogram Dokshin;Khomsor Bari;15;45;90;1;1;4;1;4;3;1;3;3;4;2;4;2;4;4;4;45
Barisal;15;61501001;10401501001;Nobogram Dokshin;Kader Sekdar Bari;15;45;35;2;1;4;2;3;3;1;4;3;4;2;4;1;4;4;4;46
Barisal;15;61502001;10401502001;Munsur Quarter;Rajjak Miyar Bari;15;45;30;3;1;4;2;4;3;1;4;3;4;2;4;2;4;4;4;49
Barisal;15;61502004;10401502004;Munsur Quarter;Wahab Enganeyar Bari;9;45;40;2;1;4;3;4;3;1;3;3;4;2;4;2;4;4;4;48
Barisal;15;61502005;10401502005;Munsur Quarter;Bagan Bari;20;100;50;1;1;4;1;1;2;1;3;4;3;2;4;1;4;4;4;40
Barisal;15;61502002;10401502002;Munsur Quarter;Usuf Miyar Bari;8;40;15;2;1;4;1;3;2;1;3;3;4;2;4;2;4;4;4;44
Barisal;15;61502003;10401502003;Munsur Quarter;Munsur Quarter She Matha;15;75;40;2;1;4;1;2;2;1;3;3;4;2;4;2;4;4;4;43
Barisal;15;61502006;10401502006;Munsur Quarter;Rajub Vela;15;45;30;2;1;4;2;4;3;1;3;4;4;2;4;2;4;4;4;48
Barisal;15;61502007;10401502007;Munsur Quarter;Shopna Manjel;17;85;40;2;1;4;2;3;2;1;4;4;4;2;4;3;4;4;4;48
Barisal;15;61502008;10401502008;Munsur Quarter;Sekdar Bari;14;70;50;2;1;4;1;2;3;1;3;3;4;2;4;1;4;4;4;43
Barisal;15;61503004;10401503004;New Sarkular Road;Bagan Bari;70;350;80;2;1;4;2;2;2;1;3;3;4;2;3;1;3;1;3;37
Barisal;15;61503005;10401503005;New Sarkular Road;Sekdar BAri;55;275;80;2;1;4;2;3;2;1;4;3;3;2;2;1;3;1;2;36
Barisal;15;61503001;10401503001;New Sarkular Road;Mohra Bari;17;85;70;3;1;4;2;3;2;1;3;3;4;2;3;1;3;1;3;39
Barisal;15;61503003;10401503003;New Sarkular Road;Peskar Bari;38;190;70;2;1;4;2;2;2;1;3;3;4;2;3;1;3;1;3;37
Barisal;15;61503002;10401503002;New Sarkular Road;Gaji Bari;230;1150;80;2;1;4;2;3;2;1;3;3;3;2;4;1;3;1;3;38
Barisal;15;61504002;10401504002;Forester Bari;Oi Forester Bari;40;200;35;3;3;4;2;3;2;2;3;3;4;2;3;2;3;1;3;43
Barisal;15;61504001;10401504001;Forester Bari;Soiyad Manjel;35;175;28;3;3;4;3;4;2;2;4;3;3;2;3;1;3;1;3;44
Barisal;15;61505006;10401505006;Hazrat Kalu Shah Road Poschim;Khalifa Bari;15;75;65;3;1;4;1;3;2;1;4;3;4;2;3;2;3;1;3;40
Barisal;15;61505005;10401505005;Hazrat Kalu Shah Road Poschim;Molla Bari;15;75;50;3;1;4;1;4;2;1;3;3;4;2;3;2;3;1;3;40
Barisal;15;61505002;10401505002;Hazrat Kalu Shah Road Poschim;Kobiraj Bari Uttor Pash;9;45;35;2;1;4;3;3;3;2;3;3;4;3;4;2;3;1;3;44
Barisal;15;61505001;10401505001;Hazrat Kalu Shah Road Poschim;Koberaj Bari;12;60;70;1;1;4;2;3;2;1;3;3;3;2;3;2;2;1;3;36
Barisal;15;61505003;10401505003;Hazrat Kalu Shah Road Poschim;Kobiraj Bari Dokkhin Pash;8;40;35;2;1;3;2;2;2;1;3;3;4;2;2;2;3;1;3;36
Barisal;15;61505004;10401505004;Hazrat Kalu Shah Road Poschim;Kaji School Ar Pichone;13;65;17;2;1;3;2;4;3;1;4;2;3;2;2;2;2;1;3;37
Barisal;15;61506006;10401506006;Hazrat Kalu Shah Road Purbo;Madrasha Ar Pichine;7;35;7;2;1;4;1;2;3;1;3;3;4;2;2;2;2;3;3;38
Barisal;15;61506004;10401506004;Hazrat Kalu Shah Road Purbo;Alenkanda School Ar Pichone;12;60;27;3;1;4;2;3;3;3;3;3;4;2;2;3;3;1;3;43
Barisal;15;61506001;10401506001;Hazrat Kalu Shah Road Purbo;Shetu Manjel;14;50;60;2;1;4;2;4;3;1;4;3;4;3;4;2;4;4;4;49
Barisal;15;61506002;10401506002;Hazrat Kalu Shah Road Purbo;Chowdory Quatej;7;35;45;2;1;4;2;3;3;1;3;4;3;3;4;3;4;4;4;48
Barisal;15;61506005;10401506005;Hazrat Kalu Shah Road Purbo;Kalam Hereyer Bashar Pichone;10;50;13;2;1;4;2;3;2;2;3;3;4;3;3;2;2;1;1;38
Barisal;15;61506003;10401506003;Hazrat Kalu Shah Road Purbo;Alek School Ar Dane;5;25;5;3;1;4;3;2;2;1;3;4;4;2;3;2;2;1;1;38
Barisal;15;61507001;10401507001;Polytecnic Road;Alekanda Sekdar Bari;35;175;40;2;1;4;2;2;3;1;4;3;4;2;3;2;3;1;3;40
Barisal;15;61507002;10401507002;Polytecnic Road;Babu Miyar Bari;15;75;35;3;3;4;2;3;2;2;4;3;4;3;4;2;4;4;4;51
Barisal;15;61507003;10401507003;Polytecnic Road;Josef Odekary Bari;15;75;70;3;3;4;3;3;3;1;4;3;4;2;4;2;4;4;4;51
Barisal;15;61507004;10401507004;Polytecnic Road;Faruk Alom Majumder Bari;20;100;25;2;1;4;2;3;3;1;3;3;4;2;4;4;4;4;4;48
Barisal;15;61508001;10401508001;Amir Kutir;Amer Quter Horejan Colony;95;475;90;1;1;3;1;2;2;2;3;3;4;2;4;2;3;3;1;37
Barisal;15;61508002;10401508002;Amir Kutir;Kola Bagan;65;325;80;2;1;3;2;2;3;2;3;3;4;2;4;3;4;4;4;46
Barisal;15;61508003;10401508003;Amir Kutir;Bir Muntejodda Moheuddain Sarak;115;575;90;2;1;4;2;4;3;3;3;3;4;2;4;2;4;1;3;45
Barisal;15;61508005;10401508005;Amir Kutir;Mer Bari;65;325;80;2;1;4;2;4;3;3;4;3;4;2;4;2;4;4;4;50
Barisal;15;61508004;10401508004;Amir Kutir;Pole Tacknecal Road Primary School;35;175;60;2;1;4;2;3;3;1;4;3;4;2;4;2;4;4;4;47
Barisal;15;61508007;10401508007;Amir Kutir;Mehraj Manjel;55;275;50;2;1;4;2;4;3;1;3;3;4;2;4;2;4;4;4;47
Barisal;15;61508006;10401508006;Amir Kutir;Nerala Complex;50;250;50;4;4;4;2;4;3;3;4;3;4;2;4;2;4;4;4;55
Barisal;17;61701001;10401701001;Fokir Bari Bari - Sadar Road;Sodor Bari;22;110;70;2;1;4;1;1;1;4;3;4;4;3;3;1;4;4;4;44
Barisal;17;61701005;10401701005;Fokir Bari Bari - Sadar Road;Janean Preser Utor Pashe;12;60;70;1;3;4;1;1;2;4;3;3;2;3;2;3;4;4;4;44
Barisal;17;61701003;10401701003;Fokir Bari Bari - Sadar Road;Dahler Bari;15;75;25;2;1;4;1;1;2;4;3;3;1;3;1;2;4;1;2;35
Barisal;17;61701002;10401701002;Fokir Bari Bari - Sadar Road;Babur Pukur Ar Purbo Pashe;17;85;40;3;1;4;1;1;2;4;4;3;2;4;1;1;4;1;2;38
Barisal;17;61702005;10401702005;Anamilen Kali Bari - Rakhal Bari;Sodor Road, City College Ar Pichone;20;100;30;1;1;4;1;1;3;2;3;3;4;4;1;3;4;4;4;43
Barisal;17;61702004;10401702004;Anamilen Kali Bari - Rakhal Bari;Fokir Bari Road Matry Chaya Kanon School Ar Pichone;8;40;5;1;1;4;1;1;3;1;3;2;4;3;4;3;4;4;4;43
Barisal;17;61702003;10401702003;Anamilen Kali Bari - Rakhal Bari;Fokir Bari Road Rakhan Babu Sarak, Rakhan Babu Pikurer Poschim Pashe;7;35;50;1;1;4;1;1;3;1;2;2;4;2;4;2;4;4;4;40
Barisal;17;61702002;10401702002;Anamilen Kali Bari - Rakhal Bari;Fokir Bari Road, Rakhan Babu Sarak Comisonar Ar Barir Uttor Pashe;15;75;70;1;1;4;1;1;1;4;4;3;2;2;1;1;4;1;2;33
Barisal;17;61702001;10401702001;Anamilen Kali Bari - Rakhal Bari;Kali Road Rakhal Babu Sarak;15;75;70;1;1;4;1;1;1;4;3;3;2;3;1;1;4;1;2;33
Barisal;17;61702007;10401702007;Anamilen Kali Bari - Rakhal Bari;Kali Bari Road, Udayane Kaber Bepored Pashe;7;35;80;2;1;4;1;1;3;1;3;2;4;3;3;4;4;4;4;44
Barisal;17;61702006;10401702006;Anamilen Kali Bari - Rakhal Bari;Kali Bari Road, Kali Monderer Bepored Pashe;10;50;120;1;1;4;1;4;3;1;3;2;4;2;3;2;4;4;4;43
Barisal;17;61703001;10401703001;Agorpur Len Batar Goli - dokkhinanchal Goli;Dokhin Onchol Goli;5;30;40;3;3;4;2;2;1;4;3;2;3;4;4;2;4;4;4;49
Barisal;17;61703002;10401703002;Agorpur Len Batar Goli - dokkhinanchal Goli;Dokkhin Onchol Goli, Daigonestick Ar Uttor Pashe;15;90;60;2;1;4;1;1;1;3;3;1;1;3;1;1;4;1;2;30
Barisal;17;61703007;10401703007;Agorpur Len Batar Goli - dokkhinanchal Goli;Alomger Miyar Bari;5;30;40;2;1;4;1;2;2;4;4;3;3;3;2;1;4;4;2;42
Barisal;17;61703008;10401703008;Agorpur Len Batar Goli - dokkhinanchal Goli;Gaji Bari;5;30;60;2;3;4;1;3;3;4;4;3;3;3;1;3;4;1;2;44
Barisal;17;61703005;10401703005;Agorpur Len Batar Goli - dokkhinanchal Goli;Sohel Mansion Ar Pichone;6;40;20;2;1;4;1;1;2;1;4;3;3;3;3;4;4;4;4;44
Barisal;17;61703006;10401703006;Agorpur Len Batar Goli - dokkhinanchal Goli;Agorpur Log, Nehal Miyar Bari;7;50;40;2;1;3;2;2;2;3;4;2;3;3;3;3;4;4;2;43
Barisal;17;61703004;10401703004;Agorpur Len Batar Goli - dokkhinanchal Goli;Dotto Vobon Pelender Bari;13;75;40;2;1;4;1;1;1;1;4;3;3;3;2;1;4;1;2;34
Barisal;17;61703003;10401703003;Agorpur Len Batar Goli - dokkhinanchal Goli;Agorpur Road, S Club Ar Uttor Pashe;40;300;60;1;1;4;1;1;3;4;4;2;4;4;4;3;4;4;4;48
Barisal;17;61703009;10401703009;Agorpur Len Batar Goli - dokkhinanchal Goli;Taltola Kali Monder;5;25;75;2;3;4;2;1;2;2;4;3;2;3;2;2;4;4;2;42
Barisal;17;61704003;10401704003;Bogra Road - Uttor Alekanda - Peshkar Bari;Muonu Miyar Bari;13;65;15;1;1;4;1;1;1;2;3;3;2;3;4;3;4;4;4;41
Barisal;17;61704002;10401704002;Bogra Road - Uttor Alekanda - Peshkar Bari;Rabeya Vela;5;26;20;2;1;4;3;1;2;3;4;3;2;3;1;2;4;1;2;38
Barisal;17;61704001;10401704001;Bogra Road - Uttor Alekanda - Peshkar Bari;Sufeya Manjel;5;25;25;2;1;4;1;2;1;4;2;2;2;4;2;1;4;1;2;35
Barisal;17;61704004;10401704004;Bogra Road - Uttor Alekanda - Peshkar Bari;Lokas Compount, Bemagarer Dokkhin Pashe;5;50;50;1;1;4;1;1;2;2;4;3;4;3;2;1;4;1;2;36
Barisal;17;61704007;10401704007;Bogra Road - Uttor Alekanda - Peshkar Bari;Sonaly Bank Ar Poschim Pashe;5;40;20;2;3;4;1;4;1;4;2;4;4;3;1;2;4;1;2;42
Barisal;17;61704006;10401704006;Bogra Road - Uttor Alekanda - Peshkar Bari;4s Tawer Ar Uttor Pashe;6;30;40;1;2;4;1;4;1;4;1;4;1;3;1;1;4;1;2;35
Barisal;17;61704008;10401704008;Bogra Road - Uttor Alekanda - Peshkar Bari;Raju Vaiyer Bari;9;60;30;1;1;4;4;4;1;4;2;3;4;1;3;1;4;1;2;40
Barisal;17;61705001;10401705001;Bogra Road - Opsonin - Esshor Bosu Road - Sadar Road;Peshkar Bari Tahmen Vilar Pashe;9;45;35;1;1;4;1;3;3;4;4;4;3;4;3;3;4;4;4;50
Barisal;17;61705004;10401705004;Bogra Road - Opsonin - Esshor Bosu Road - Sadar Road;Edin Clinik Ar Bepored Pashe;5;30;40;1;4;4;4;4;1;4;3;3;1;3;1;1;4;1;2;41
Barisal;17;61705005;10401705005;Bogra Road - Opsonin - Esshor Bosu Road - Sadar Road;Delbag Ar Pashe;15;75;40;1;1;4;1;4;2;4;3;3;4;1;4;3;4;1;2;42
Barisal;17;61705002;10401705002;Bogra Road - Opsonin - Esshor Bosu Road - Sadar Road;Peshkar Bari Sifa Beparir Colony;8;40;80;1;1;4;4;3;1;1;4;2;2;4;1;1;4;1;2;36
Barisal;17;61705003;10401705003;Bogra Road - Opsonin - Esshor Bosu Road - Sadar Road;Bangladesh Bank Ar Uttor Pashe;6;30;66;1;1;4;4;4;4;4;3;4;4;3;1;1;4;1;2;45
Barisal;17;61706001;10401706001;Uttor Alekanda - Dilbag - Dinbondhu - Peshkar Bari;Delbag Voboner Bepored Pashe;11;55;40;3;1;4;2;3;2;4;4;4;4;4;4;4;4;4;4;55
Barisal;17;61706002;10401706002;Uttor Alekanda - Dilbag - Dinbondhu - Peshkar Bari;Lamesa Voboner Pichone;8;40;35;3;1;4;2;3;3;4;4;4;4;4;4;4;4;4;4;56
Barisal;17;61707001;10401707001;Mollik Road - Bogra Road - Fokir Bari;Saud Bangol Clinik Ar Pashe;10;50;15;2;4;4;1;1;2;3;4;3;2;3;2;4;4;4;4;47
Barisal;17;61707002;10401707002;Mollik Road - Bogra Road - Fokir Bari;Sri Sri Gore Math Ar Vetore;11;55;50;2;1;4;2;1;1;4;3;1;1;4;1;1;4;1;2;33
Barisal;17;61707004;10401707004;Mollik Road - Bogra Road - Fokir Bari;Mohela College Ar Dokkhin Pashe;8;40;100;1;1;4;1;1;1;4;4;3;2;3;4;3;4;4;4;44
Barisal;17;61707003;10401707003;Mollik Road - Bogra Road - Fokir Bari;Kobiraj Bari;9;45;15;2;1;4;1;3;1;1;4;3;2;4;1;1;4;1;2;35
Barisal;17;61708004;10401708004;Fakir Bari Road - Mollik Road - Kali Bari Road;Fokir Bari Road, Masjeed Ar Pichone;20;100;100;1;1;4;4;1;2;1;3;3;4;3;3;2;4;1;2;39
Barisal;17;61708003;10401708003;Fakir Bari Road - Mollik Road - Kali Bari Road;Mollik Road, Police Club Ar Purbo Pashe;20;100;80;2;1;4;1;2;3;4;3;4;4;3;1;1;4;1;2;40
Barisal;17;61708005;10401708005;Fakir Bari Road - Mollik Road - Kali Bari Road;Fokir Bari Club Ar Lili Velar Poschim Pashe;15;75;50;1;1;4;1;4;2;4;2;3;4;3;4;1;4;4;4;46
Barisal;17;61708006;10401708006;Fakir Bari Road - Mollik Road - Kali Bari Road;Kaji Monjeler Poschim Pashe;25;125;20;1;1;4;4;4;3;4;3;4;4;3;4;4;4;1;2;50
Barisal;17;61708002;10401708002;Fakir Bari Road - Mollik Road - Kali Bari Road;Sorkary Primary Bedaloy Ar Beppored Pashe;12;60;80;3;1;4;1;1;3;4;4;3;2;4;1;1;4;1;2;39
Barisal;17;61708001;10401708001;Fakir Bari Road - Mollik Road - Kali Bari Road;Kali Bari Road Jogdate Mander Ar Poschim Pashe;7;35;50;1;1;4;1;1;1;4;4;4;4;4;1;1;4;1;2;38
Barisal;3;60301001;10400301001;Uttor Motasar;Mohrap Har Bari;104;446;100;2;1;3;1;1;1;1;4;2;2;3;3;1;4;4;4;37
Barisal;3;60301002;10400301002;Uttor Motasar;Habeb Har Bari;48;203;100;2;1;3;1;1;1;1;4;2;2;3;3;1;4;4;4;37
Barisal;3;60301003;10400301003;Uttor Motasar;Arj Ali Ghoda;92;370;100;2;1;3;1;1;1;1;4;2;2;3;4;1;4;4;4;38
Barisal;3;60301004;10400301004;Uttor Motasar;Hemahet Har Bari;55;185;100;2;1;3;1;1;2;1;4;2;2;3;4;2;4;4;4;40
Barisal;3;60301007;10400301007;Uttor Motasar;Ranir Bari;110;405;100;2;1;3;1;1;1;1;4;2;2;2;4;1;4;4;4;37
Barisal;3;60301008;10400301008;Uttor Motasar;Soref Bari;75;225;100;2;1;2;1;1;2;1;4;3;2;2;4;2;4;4;4;39
Barisal;3;60301006;10400301006;Uttor Motasar;Dedar Bari;35;165;100;2;1;1;1;1;1;1;4;2;2;1;4;1;4;4;4;34
Barisal;3;60301005;10400301005;Uttor Motasar;Samem Hawladarer Bari;195;780;100;2;1;1;1;1;1;1;4;1;2;2;4;1;4;4;4;34
Barisal;3;60301009;10400301009;Uttor Motasar;Rofek Sekdar;76;310;100;2;1;2;1;1;2;1;4;2;2;2;4;2;4;4;4;38
Barisal;3;60302002;10400302002;Poschim Motasar;Forkan Khan Bari;35;165;80;1;1;2;1;1;2;1;3;2;3;2;4;2;4;4;4;37
Barisal;3;60303001;10400303001;Motasar Colony;Samsu Miyar Bari;98;405;40;1;1;1;1;1;1;1;4;4;2;4;4;1;4;4;4;38
Barisal;3;60303002;10400303002;Motasar Colony;Kobir Har;75;269;40;1;1;1;1;1;1;1;4;1;2;3;1;4;4;4;4;34
Barisal;3;60304001;10400304001;Puran Para;Meched Hak Bari;115;560;120;1;1;1;1;1;1;1;4;1;1;4;4;4;4;4;4;37
Barisal;3;60304002;10400304002;Puran Para;Chokedar Bari;310;1535;140;2;1;4;1;1;1;1;4;1;2;4;4;4;4;4;4;42
Barisal;3;60304003;10400304003;Puran Para;Khan Bari;180;720;125;2;1;4;1;1;1;1;4;3;1;4;4;4;4;4;4;43
Barisal;3;60304007;10400304007;Puran Para;Mir Bari;150;580;180;2;1;4;1;1;1;1;4;3;2;3;4;4;4;4;4;43
Barisal;3;60304004;10400304004;Puran Para;Wayes Munse Bari;225;880;140;1;1;4;1;1;1;1;4;3;1;4;4;4;4;4;4;42
Barisal;3;60304006;10400304006;Puran Para;Loskor Bari;120;475;180;1;1;4;1;1;1;1;3;3;2;4;4;4;4;4;4;42
Barisal;3;60304005;10400304005;Puran Para;Mollik Bari;80;282;110;2;1;4;1;1;1;1;4;4;3;4;4;4;4;4;4;46
Barisal;3;60305001;10400305001;Moddho Puran Para;Mudha Bari;250;950;150;2;1;4;1;1;1;1;4;1;2;3;4;4;4;4;4;41
Barisal;3;60305002;10400305002;Moddho Puran Para;Jahanger Membat Bari;150;590;200;1;1;4;1;1;1;1;4;1;1;3;4;4;1;4;4;36
Barisal;3;60305003;10400305003;Moddho Puran Para;Goni Hak Bari;120;470;150;2;1;4;1;1;1;1;4;1;2;3;4;4;4;4;4;41
Barisal;3;60305004;10400305004;Moddho Puran Para;Canna Khai Bari;30;115;150;2;1;4;1;1;3;3;4;3;4;2;4;1;4;4;4;45
Barisal;3;60305005;10400305005;Moddho Puran Para;Kudu Membarer Bari;150;590;120;2;1;4;1;1;1;4;4;3;4;2;4;1;4;4;4;44
Barisal;3;60305006;10400305006;Moddho Puran Para;Khala Khan Bari;205;845;150;2;1;4;1;1;1;4;4;3;3;3;4;1;4;4;4;44
Barisal;3;60306001;10400306001;Hosnabad;Salem Miyar Bari;55;275;100;2;1;2;1;1;1;1;3;1;3;2;4;1;4;4;4;35
Barisal;3;60306002;10400306002;Hosnabad;Moyla Khola;50;210;21;2;3;3;1;1;1;1;3;3;3;2;4;1;4;4;4;40
Barisal;3;60306003;10400306003;Hosnabad;Mollik Bari;100;490;80;2;1;3;1;1;1;1;4;1;1;4;4;4;4;4;4;40
Barisal;3;60306004;10400306004;Hosnabad;Kerani Bari;225;920;170;2;1;2;1;1;1;2;2;3;4;2;4;3;4;4;4;40
Barisal;3;60306005;10400306005;Hosnabad;Malek Membarer Bari;20;120;50;1;1;2;1;1;1;1;2;3;3;1;2;2;4;4;4;33
Barisal;3;60306006;10400306006;Hosnabad;Khan Bari;25;140;35;2;1;2;1;1;1;2;2;4;3;3;1;2;4;2;4;35
Barisal;3;60306007;10400306007;Hosnabad;Kholil Der Bari;200;420;105;1;1;4;1;1;1;1;4;2;3;1;4;1;4;4;4;37
Barisal;3;60306008;10400306008;Hosnabad;Alomger Miyar Bari;30;160;70;1;1;4;1;1;1;1;4;2;3;1;4;1;4;4;4;37
Barisal;3;60307004;10400307004;Gauyarsar;Ali ajem khar bari;200;1020;40;2;1;4;1;4;1;4;4;1;2;4;4;4;4;4;4;48
Barisal;3;60307005;10400307005;Gauyarsar;Talukdar Bari;250;950;200;2;1;4;1;2;1;4;4;1;1;4;4;4;4;4;4;45
Barisal;3;60307003;10400307003;Gauyarsar;Shap maye3r Vbari;60;300;160;1;1;4;1;2;4;4;4;3;4;3;4;2;4;4;4;49
Barisal;3;60307002;10400307002;Gauyarsar;Sofig uddi Hang;180;720;110;3;1;4;1;1;3;4;4;3;4;3;4;2;4;4;4;49
Barisal;3;60307007;10400307007;Gauyarsar;Khalifa bari;250;1240;100;2;1;1;1;4;1;4;4;1;1;4;4;4;4;4;4;44
Barisal;3;60307001;10400307001;Gauyarsar;Khan bari;150;750;105;2;1;4;1;1;1;1;3;3;4;3;4;2;4;4;3;41
Barisal;3;60307006;10400307006;Gauyarsar;Mira bari;115;190;120;2;1;3;1;1;1;3;4;3;4;3;4;2;4;4;4;44
Barisal;3;60307008;10400307008;Gauyarsar;Molla bari;200;1020;150;2;1;4;1;1;1;1;4;4;3;2;4;1;4;4;4;41
Barisal;3;60307009;10400307009;Gauyarsar;chodon fakir bari;300;1500;200;2;1;4;1;1;1;4;3;1;3;3;4;2;4;4;4;42
Barisal;3;60308002;10400308002;Vatikhana;Gazi bari;60;310;55;2;1;4;1;1;1;1;4;4;4;2;4;1;4;4;4;42
